date,close,volume,open,high,low,symbol
2025-04-04,145.6,62259540,148.01,151.07,145.38,GOOGL
2025-04-03,150.72,46883370,151.11,152.7799,150.39,GOOGL
2025-04-02,157.04,25041730,155.15,158.4052,154.7,GOOGL
2025-04-01,157.07,30672900,153.62,158.1,153.62,GOOGL
2025-03-31,154.64,54603460,153.11,155.54,150.662,GOOGL
2025-03-28,154.33,48669340,160.49,161.82,153.63,GOOGL
2025-03-27,162.24,24508270,164.63,165.42,162.0,GOOGL
2025-03-26,165.06,28939330,169.0,169.61,164.84,GOOGL
2025-03-25,170.56,24174370,168.98,170.63,168.315,GOOGL
2025-03-24,167.68,30879130,167.065,168.32,165.14,GOOGL
2025-03-21,163.99,36625760,161.205,164.24,160.8901,GOOGL
2025-03-20,162.8,28138460,161.57,164.89,160.96,GOOGL
2025-03-19,163.89,34275580,161.76,165.87,161.0,GOOGL
2025-03-18,160.67,42074750,163.675,164.25,156.72,GOOGL
2025-03-17,164.29,31184340,165.03,166.3,163.67,GOOGL
2025-03-14,165.49,31995890,163.27,166.49,162.45,GOOGL
2025-03-13,162.76,31756210,166.035,166.13,162.11,GOOGL
2025-03-12,167.11,28372400,166.58,167.6399,163.53,GOOGL
2025-03-11,164.04,39587410,164.91,166.75,161.37,GOOGL
2025-03-10,165.87,43604030,168.26,168.46,163.69,GOOGL
2025-03-07,173.86,27385810,171.26,174.97,170.27,GOOGL
2025-03-06,172.35,28301950,170.53,174.81,170.5,GOOGL
2025-03-05,173.02,30954920,170.52,173.78,169.06,GOOGL
2025-03-04,170.92,45388000,166.24,173.2946,165.8,GOOGL
2025-03-03,167.01,40770450,171.925,173.37,165.93,GOOGL
2025-02-28,170.28,48130570,168.68,170.61,166.77,GOOGL
2025-02-27,168.5,39991020,173.99,174.56,167.94,GOOGL
2025-02-26,172.73,35431270,175.07,176.08,171.5807,GOOGL
2025-02-25,175.42,41913410,178.04,178.74,174.6939,GOOGL
2025-02-24,179.25,29854210,181.99,183.12,178.885,GOOGL
