date,close,volume,open,high,low,symbol
2025-04-03,178.41,95553620,182.995,184.13,176.92,AMZN
2025-04-02,196.01,53679200,187.66,198.34,187.66,AMZN
2025-04-01,192.17,41267320,187.86,193.93,187.2,AMZN
2025-03-31,190.26,63547560,188.19,191.33,184.4,AMZN
2025-03-28,192.72,52548230,198.42,199.26,191.881,AMZN
2025-03-27,201.36,27317660,200.89,203.79,199.2821,AMZN
2025-03-26,201.13,32990970,205.835,206.01,199.925,AMZN
2025-03-25,205.71,31171160,203.595,206.21,203.22,AMZN
2025-03-24,203.26,41625370,200.0,203.64,199.95,AMZN
2025-03-21,196.21,60056920,192.9,196.99,192.52,AMZN
2025-03-20,194.95,38921110,193.07,199.32,192.3,AMZN
2025-03-19,195.54,39442880,193.38,195.965,191.96,AMZN
2025-03-18,192.82,40414870,192.52,194.0,189.38,AMZN
2025-03-17,195.74,47341750,198.77,199.0,194.3247,AMZN
2025-03-14,197.95,38096660,197.41,198.65,195.32,AMZN
2025-03-13,193.89,41270760,198.165,198.8799,191.82,AMZN
2025-03-12,198.89,43679280,200.72,201.52,195.29,AMZN
2025-03-11,196.59,54002880,193.9,200.18,193.4,AMZN
2025-03-10,194.54,62350930,195.6,196.73,190.85,AMZN
2025-03-07,199.25,59802820,199.49,202.2653,192.53,AMZN
2025-03-06,200.7,49863760,204.4,205.77,198.3015,AMZN
2025-03-05,208.36,38610090,204.8,209.98,203.26,AMZN
2025-03-04,203.8,60853080,200.11,206.8,197.432,AMZN
2025-03-03,205.02,42948450,213.352,214.01,202.55,AMZN
2025-02-28,212.28,51771740,208.65,212.62,206.99,AMZN
2025-02-27,208.74,40548570,218.35,219.97,208.37,AMZN
2025-02-26,214.35,39120600,214.94,218.16,213.09,AMZN
2025-02-25,212.8,58957980,211.63,213.34,204.16,AMZN
2025-02-24,212.71,42387590,217.45,217.715,212.42,AMZN
2025-02-21,216.58,55323850,223.28,223.31,214.74,AMZN
2025-02-20,222.88,30001670,224.775,225.13,221.81,AMZN
2025-02-19,226.63,28566710,225.52,226.83,223.71,AMZN
2025-02-18,226.65,42975130,228.82,229.3,223.72,AMZN
2025-02-14,228.68,27031080,229.2,229.89,227.23,AMZN
2025-02-13,230.37,31346510,228.85,230.42,227.52,AMZN
2025-02-12,228.93,32285250,230.46,231.18,228.16,AMZN
2025-02-11,232.76,23713730,231.92,233.44,230.13,AMZN
2025-02-10,233.14,35419930,230.545,233.92,229.2,AMZN
2025-02-07,229.15,77539280,232.5,234.81,228.06,AMZN
2025-02-06,238.83,60897100,238.01,239.6599,236.01,AMZN
2025-02-05,236.17,38832040,237.02,238.32,235.2,AMZN
2025-02-04,242.06,29713810,239.01,242.52,238.03,AMZN
2025-02-03,237.42,37285870,234.06,239.25,232.9,AMZN
2025-01-31,237.68,36162380,236.5,240.29,236.41,AMZN
2025-01-30,234.64,32020730,237.14,237.95,232.22,AMZN
2025-01-29,237.07,26091720,239.015,240.39,236.15,AMZN
2025-01-28,238.15,41587190,234.29,241.77,233.98,AMZN
2025-01-27,235.42,49428330,226.21,235.61,225.86,AMZN
2025-01-24,234.85,25890740,234.5,236.4,232.93,AMZN
2025-01-23,235.42,26404360,234.1,235.52,231.51,AMZN
2025-01-22,235.01,41448220,232.02,235.44,231.19,AMZN
2025-01-21,230.71,39951460,228.9,231.78,226.94,AMZN
2025-01-17,225.94,42370120,225.84,226.51,223.08,AMZN
2025-01-16,220.66,24757280,224.42,224.65,220.31,AMZN
2025-01-15,223.35,31291260,222.83,223.57,220.75,AMZN
2025-01-14,217.76,24711650,220.44,221.82,216.2,AMZN
2025-01-13,218.46,27262660,218.06,219.4,216.47,AMZN
2025-01-10,218.94,36811530,221.46,221.71,216.5,AMZN
2025-01-08,222.13,25033290,223.185,223.52,220.2,AMZN
2025-01-07,222.11,28084160,227.9,228.381,221.46,AMZN
2025-01-06,227.61,31849830,226.78,228.835,224.84,AMZN
2025-01-03,224.19,27515610,222.505,225.36,221.62,AMZN
2025-01-02,220.22,33956580,222.03,225.15,218.19,AMZN
2024-12-31,219.39,24819660,222.965,223.2299,218.94,AMZN
2024-12-30,221.3,28321240,220.06,222.9972,218.43,AMZN
2024-12-27,223.75,27367150,225.6,226.03,220.9,AMZN
2024-12-26,227.05,16174500,228.5,228.5,226.6706,AMZN
2024-12-24,229.05,15007500,226.94,229.14,226.13,AMZN
2024-12-23,225.06,28070010,225.01,226.88,223.9,AMZN
2024-12-20,224.92,88279180,219.84,226.21,218.73,AMZN
2024-12-19,223.29,39918740,224.91,226.09,222.92,AMZN
2024-12-18,220.52,43281440,230.77,231.3999,220.11,AMZN
2024-12-17,231.15,35948130,232.39,232.73,227.85,AMZN
2024-12-16,232.93,37552100,230.23,233.0,228.01,AMZN
2024-12-13,227.46,28768080,228.4,230.2,225.8608,AMZN
2024-12-12,228.97,28204080,229.83,231.09,227.63,AMZN
2024-12-11,230.26,35385790,226.41,231.2,226.26,AMZN
2024-12-10,225.04,31199860,226.09,229.06,224.2002,AMZN
2024-12-09,226.09,46819360,227.21,230.08,225.67,AMZN
2024-12-06,227.03,44178070,220.75,227.15,220.6,AMZN
2024-12-05,220.55,41140220,218.03,222.15,217.3,AMZN
